tag,n_estimators,learning_rate,max_depth,lambda_,n_measurements,fold,accuracy,precision,recall,F1,auroc,prauc
n_estimators=100 | learning_rate=0.01 | max_depth=4 | lambda_=0.1 | n_measurements=None,100,0.01,4,0.1,,1,0.6952380952380952,0.7273202614379085,0.6952380952380952,0.6734693877551021,0.9387712180721388,0.8733516045081388
n_estimators=500 | learning_rate=0.01 | max_depth=10 | lambda_=5 | n_measurements=None,500,0.01,10,5.0,,5,0.4519230769230769,0.46351886595789027,0.4519230769230769,0.3857657967032967,0.6729455688289911,0.5116283679595314
n_estimators=500 | learning_rate=0.1 | max_depth=4 | lambda_=0.1 | n_measurements=None,500,0.1,4,0.1,,1,0.780952380952381,0.7829878553282807,0.780952380952381,0.7797900485981981,0.9353587548179383,0.870379700232174
n_estimators=500 | learning_rate=0.1 | max_depth=4 | lambda_=0.1 | n_measurements=None,500,0.1,4,0.1,,2,0.8365384615384616,0.8429722850678734,0.8365384615384616,0.830575053891631,0.9726458607134563,0.932635639382807
n_estimators=500 | learning_rate=0.1 | max_depth=4 | lambda_=0.1 | n_measurements=None,500,0.1,4,0.1,,3,0.9423076923076923,0.9483807134894092,0.9423076923076923,0.9431141439205957,0.9958714449942521,0.9873755145518158
n_estimators=500 | learning_rate=0.1 | max_depth=4 | lambda_=0.1 | n_measurements=None,500,0.1,4,0.1,,4,0.8653846153846154,0.8714618714618715,0.8653846153846154,0.867395104895105,0.9703391313040436,0.9363499819283311
n_estimators=500 | learning_rate=0.1 | max_depth=4 | lambda_=0.1 | n_measurements=None,500,0.1,4,0.1,,5,0.8557692307692307,0.8593884669252316,0.8557692307692307,0.8511494569711672,0.974684787048671,0.95694171057272
n_estimators=500 | learning_rate=0.1 | max_depth=4 | lambda_=5 | n_measurements=None,500,0.1,4,5.0,,1,0.5142857142857142,0.4737638617090672,0.5142857142857142,0.45473913703412394,0.6211937433110466,0.4732301596080118
n_estimators=500 | learning_rate=0.1 | max_depth=4 | lambda_=5 | n_measurements=None,500,0.1,4,5.0,,2,0.47115384615384615,0.4541493814852929,0.47115384615384615,0.4422461969212632,0.6852073465463557,0.5520307412193621
n_estimators=500 | learning_rate=0.1 | max_depth=4 | lambda_=5 | n_measurements=None,500,0.1,4,5.0,,3,0.5192307692307693,0.5270903010033444,0.5192307692307693,0.4854014285037701,0.6712163242864997,0.5163885284731797
n_estimators=500 | learning_rate=0.1 | max_depth=4 | lambda_=5 | n_measurements=None,500,0.1,4,5.0,,4,0.5384615384615384,0.5120136273982427,0.5384615384615384,0.47770686503039445,0.6941482613438238,0.504085185170665
n_estimators=500 | learning_rate=0.1 | max_depth=4 | lambda_=5 | n_measurements=None,500,0.1,4,5.0,,5,0.46153846153846156,0.4483370113493065,0.46153846153846156,0.43942997341715007,0.6663855056841406,0.5240621427166421
n_estimators=500 | learning_rate=0.1 | max_depth=10 | lambda_=0.1 | n_measurements=None,500,0.1,10,0.1,,1,0.7619047619047619,0.764239936580362,0.7619047619047619,0.7609117417198913,0.929284765094758,0.8609267441945441
n_estimators=500 | learning_rate=0.1 | max_depth=10 | lambda_=0.1 | n_measurements=None,500,0.1,10,0.1,,2,0.8461538461538461,0.8522190799396682,0.8461538461538461,0.8417518290914321,0.9701805838544745,0.9255528098650628
n_estimators=500 | learning_rate=0.1 | max_depth=10 | lambda_=0.1 | n_measurements=None,500,0.1,10,0.1,,3,0.9615384615384616,0.9636371237458193,0.9615384615384616,0.9619018513112441,0.9956190333383315,0.9841536877723924
n_estimators=500 | learning_rate=0.1 | max_depth=10 | lambda_=0.1 | n_measurements=None,500,0.1,10,0.1,,4,0.875,0.8774475524475525,0.875,0.875944669365722,0.9729257259959014,0.942011632824144
n_estimators=500 | learning_rate=0.1 | max_depth=10 | lambda_=0.1 | n_measurements=None,500,0.1,10,0.1,,5,0.8557692307692307,0.8610690779808426,0.8557692307692307,0.8521144233773099,0.9744211508730565,0.9531305735300032
n_estimators=500 | learning_rate=0.1 | max_depth=10 | lambda_=5 | n_measurements=None,500,0.1,10,5.0,,1,0.5238095238095238,0.5031330842196033,0.5238095238095238,0.47528644763667804,0.641831873414292,0.5043041581858102
n_estimators=500 | learning_rate=0.1 | max_depth=10 | lambda_=5 | n_measurements=None,500,0.1,10,5.0,,2,0.49038461538461536,0.4675433634992458,0.49038461538461536,0.4610147861292026,0.6878728106927281,0.5607402953327566
n_estimators=500 | learning_rate=0.1 | max_depth=10 | lambda_=5 | n_measurements=None,500,0.1,10,5.0,,3,0.49038461538461536,0.46952444485339223,0.49038461538461536,0.4385723107972599,0.6643998130066241,0.49408922593920745
n_estimators=500 | learning_rate=0.1 | max_depth=10 | lambda_=5 | n_measurements=None,500,0.1,10,5.0,,4,0.5673076923076923,0.5481825866441251,0.5673076923076923,0.5105686428267073,0.7121289166438804,0.5131118377603532
n_estimators=500 | learning_rate=0.1 | max_depth=10 | lambda_=5 | n_measurements=None,500,0.1,10,5.0,,5,0.46153846153846156,0.4390182186234818,0.46153846153846156,0.43851163081932315,0.6659435440340845,0.5264640412932658
