tag,C,class_weight,decision_function_shape,tol,fold,accuracy,precision,recall,F1,auroc,prauc
C=10 | class_weight=balanced | decision_function_shape=ovr | tol=0.1,10.0,balanced,ovr,0.1,2,0.3703170028818444,0.5474652584429585,0.3703170028818444,0.3562369005475819,0.6923930308637933,0.47509806016227274
C=10 | class_weight=balanced | decision_function_shape=ovr | tol=0.1,10.0,balanced,ovr,0.1,3,0.36935638808837656,0.5344600524683668,0.36935638808837656,0.35487595761765656,0.6693936615924476,0.45001478572989
C=10 | class_weight=balanced | decision_function_shape=ovr | tol=0.1,10.0,balanced,ovr,0.1,4,0.36839577329490875,0.5072958634415745,0.36839577329490875,0.3451901147226617,0.6801059990138488,0.4604760659709096
C=10 | class_weight=balanced | decision_function_shape=ovr | tol=0.1,10.0,balanced,ovr,0.1,5,0.3608841902931283,0.4996149270729373,0.3608841902931283,0.3350323494142878,0.6707592459752799,0.4469841596690326
C=10 | class_weight=balanced | decision_function_shape=ovr | tol=1,10.0,balanced,ovr,1.0,1,0.36743515850144093,0.49474040618434567,0.36743515850144093,0.348237267601948,0.6842120951398784,0.4645592181766095
C=10 | class_weight=balanced | decision_function_shape=ovr | tol=1,10.0,balanced,ovr,1.0,2,0.38760806916426516,0.5772089070105697,0.38760806916426516,0.36414011621408926,0.6955073590594942,0.4808136877714336
C=10 | class_weight=balanced | decision_function_shape=ovr | tol=1,10.0,balanced,ovr,1.0,3,0.35446685878962536,0.4934135332738799,0.35446685878962536,0.33997665822889456,0.6766731017808467,0.4571198326521319
C=10 | class_weight=balanced | decision_function_shape=ovr | tol=1,10.0,balanced,ovr,1.0,4,0.3813640730067243,0.5639418186386995,0.3813640730067243,0.3452362809901847,0.6844988128117614,0.46770365533931824
C=10 | class_weight=balanced | decision_function_shape=ovr | tol=1,10.0,balanced,ovr,1.0,5,0.37289764536280634,0.4993603638629681,0.37289764536280634,0.3574695354120979,0.678254949400941,0.45779508728475615
C=10 | class_weight=balanced | decision_function_shape=ovr | tol=10,10.0,balanced,ovr,10.0,1,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30576018219383744
C=10 | class_weight=balanced | decision_function_shape=ovr | tol=10,10.0,balanced,ovr,10.0,2,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.3059502750348119
C=10 | class_weight=balanced | decision_function_shape=ovr | tol=10,10.0,balanced,ovr,10.0,3,0.4462055715658021,0.19909941209636414,0.4462055715658021,0.27534040251386926,0.5,0.30541413940080153
C=10 | class_weight=balanced | decision_function_shape=ovr | tol=10,10.0,balanced,ovr,10.0,4,0.44668587896253603,0.19952827446453336,0.44668587896253603,0.2758418774469844,0.5,0.30563191566521886
C=10 | class_weight=balanced | decision_function_shape=ovr | tol=10,10.0,balanced,ovr,10.0,5,0.44690052859202306,0.19972008245582962,0.44690052859202306,0.2760660854138701,0.5,0.30584005166997996
C=10 | class_weight=balanced | decision_function_shape=ovo | tol=0.1,10.0,balanced,ovo,0.1,1,0.35830931796349663,0.4960773931222206,0.35830931796349663,0.33724622579336516,0.7243014890471129,0.4556242697914829
